#ID	RA	DEC	ENV	CO10	UC_CO10	CO21	UC_CO21	CO32	UC_CO32	13CO10	UC_13CO10	13CO21	UC_13CO21	C18O10	UC_C18O10	SNR_TCO	C18O21	UC_C18O21	C17O10	UC_C17O10
689   6.86216549      58.07675804     2     24.08894643   0.14678635   19.45172415   0.20737452   8.91469179    0.11362719   2.88662966   0.08389973   1.74166026   0.17689895   0.63623648    0.09200831   34.40570857617778    0.44376981    0.180986     0.13988487    0.10931982  
386   6.86223416      -58.83667154    2     31.37315428   0.15175534   25.52172282   0.21951213   11.02648421   0.14759948   3.31989604   0.09696143   1.71461974   0.16898178   0.69685967    0.0865722    34.23934692382321    0.31833935    0.17364813   0.11974867    0.12738576  
385   -6.63776638     -58.83667947    2     31.8224369    0.18520504   26.90290577   0.19910101   11.38585648   0.184908     3.36632065   0.09906769   1.62009307   0.19250546   0.7122952     0.096756     33.980005489176136   0.43579015    0.17907951   0.13002457    0.12901448  
658   0.11217209      46.38529184     2     29.1153934    0.12678729   23.88255568   0.21732905   10.07068653   0.09701727   3.28497779   0.09673157   1.8868644    0.17805177   0.81519221    0.09481688   33.95972783239226    0.61702074    0.19501878   0.11269022    0.11362319  
659   13.61217242     46.38577689     2     28.24261205   0.1710377    23.39219098   0.22402374   10.02224311   0.1211875    3.33857564   0.10101176   1.91222071   0.20796166   0.78891088    0.1084617    33.05135600052905    0.39364219    0.21255342   0.31017752    0.11681409  
474   -40.38778668    -23.75849713    2     24.0809186    0.11334629   22.88933748   0.21753299   6.95948764    0.1376439    3.0033891    0.09181348   1.97414114   0.19004861   0.53928488    0.09026431   32.71185342283072    0.3160219     0.19279853   0.08902779    0.11312867  
630   33.86217926     34.69695054     2     24.32707666   0.12532534   19.59846749   0.21961086   9.5259812     0.12584039   3.14716452   0.09636142   1.62013616   0.19511219   0.79813507    0.09834826   32.660005632959745   0.39683152    0.201061     0.29676851    0.12237396  
418   27.11222764     -47.14352836    2     26.68343643   0.14812883   22.10567205   0.21359219   8.26226192    0.18353792   2.87115824   0.09015906   1.83249535   0.18098308   0.31961368    0.09976456   31.845476649823105   0.39722678    0.23936188   0.17418432    0.10854458  
688   -6.63783504     58.07675011     2     25.87884341   0.16749464   21.28784345   0.22658175   9.41229183    0.13070457   3.03779718   0.09722558   1.875955     0.16438127   0.48597494    0.0924498    31.244834744107465   0.72103583    0.17043814   0.17676869    0.11214319  
414   -26.88777359    -47.14356007    2     24.42956338   0.11594536   22.13979548   0.20691974   8.16483015    0.14844844   2.85321465   0.09178459   1.9130282    0.18723192   0.50125341    0.0902511    31.085987854823998   0.1573613     0.19609546   0.10390019    0.11427938  
444   -33.63778017    -35.4511479     2     24.08071911   0.15353663   22.72580955   0.21382257   7.73830869    0.15548209   3.1476363    0.10197939   2.08455591   0.18134318   0.47171197    0.10091113   30.865416041417777   0.28121679    0.16955521   0.0146895     0.11247793  
565   -33.63780719    11.31422463     4     28.49158283   0.13585637   25.39629361   0.23575261   7.99564238    0.13318737   3.64903259   0.11994705   2.42784328   0.21390103   0.84964886    0.11258396   30.422028636802658   0.31570629    0.21863868   0.06968301    0.14243186  
534   -40.38780014    -0.3758107      4     28.22717944   0.16774532   25.86593183   0.25281478   7.18667122    0.13835752   3.71640623   0.12293748   2.33998769   0.20704078   0.75512043    0.12606013   30.230050510226825   0.37866408    0.22501931   -0.03160779   0.1340097   
387   20.36223467     -58.83570989    2     31.61479741   0.1929877    26.04552311   0.19494218   10.82851755   0.1757655    3.16892929   0.1053918    1.71898978   0.18666939   0.46585792    0.1000956    30.068082051924343   0.29753852    0.2059146    0.11254888    0.10904278  
388   33.86223509     -58.83379452    2     29.75321641   0.13675101   25.03664538   0.20816883   11.40639228   0.16608187   3.13267561   0.10468116   1.83835841   0.17802333   0.5173082     0.09683102   29.925877875254727   0.36001721    0.20674632   0.27910049    0.11540631  
596   -26.88781426    23.00449834     4     27.69194136   0.1494035    25.09805266   0.28928811   8.94499836    0.15704083   3.63900224   0.12317107   2.12815326   0.23872781   0.80046913    0.13707213   29.54429347735633    0.22514613    0.24575474   0.04633939    0.13564707  
626   -20.13782129    34.69501045     4     22.54433925   0.18834033   19.45198484   0.20149186   8.33485314    0.12357656   2.89562135   0.10064096   1.50205711   0.17503006   0.60091052    0.10275974   28.77179778491779    0.22201568    0.18945741   0.20767494    0.11862246  
509   33.8622063      -12.06842199    4     24.01894858   0.20858513   22.30590332   0.25942423   12.24505658   0.17299475   3.71048446   0.13076122   2.14709343   0.20843641   0.90055203    0.11436146   28.376031211700226   0.45091264    0.24866009   -0.14147563   0.13817546  
660   27.11217268     46.38721619     2     22.32293135   0.14497799   19.05695208   0.22390284   8.25441393    0.12287967   2.77643077   0.10124281   1.63546911   0.21030906   0.83954436    0.08830163   27.423485875194498   0.34634672    0.20693299   0.26141581    0.12032625  
540   40.61219925     -0.37576312     4     20.44761371   0.13066053   18.19090882   0.24834459   9.54886598    0.13543547   3.26193076   0.11925684   1.89234681   0.20783213   0.70872021    0.1097618    27.352148187055768   0.68961564    0.2234223    0.2515588     0.15055702  
657   -13.38782824    46.38576103     2     23.70457405   0.19521742   20.03887152   0.17187558   8.47140094    0.10906898   2.74207581   0.10135017   1.53374619   0.16570814   0.68721942    0.08413881   27.05546335048081    0.29628075    0.15976395   0.27152958    0.11557264  
601   40.61218577     23.0069233      3     19.64177086   0.12768789   16.96132594   0.25011099   8.71530217    0.14380563   2.98793678   0.11144194   1.10060501   0.20779877   0.7283829     0.1047154    26.811600551820973   0.21113669    0.20544669   0.37904965    0.11383987  
479   27.11221338     -23.76084222    4     20.55664064   0.15319874   18.92223497   0.24269304   9.35454528    0.17636066   2.92001916   0.10961832   1.98955619   0.19624797   0.53027266    0.09454707   26.638057945058815   0.22477954    0.21519765   0.23271231    0.1184812   
656   -26.8878285     46.38718447     2     21.73378967   0.18417355   18.90359962   0.19508184   7.89418654    0.09704805   2.55076389   0.09623415   1.18823691   0.17720597   0.66429617    0.08895687   26.505807865503044   0.28573054    0.15182237   0.11058878    0.10901229  
687   -20.13783554    58.07769649     2     24.53160576   0.14359553   19.54387164   0.19855882   8.59478664    0.11100869   2.77845043   0.10594322   1.43423333   0.18816545   0.53553084    0.09099339   26.225844655278554   0.45957572    0.19564898   0.2290388     0.12175172  
448   20.36222042     -35.45302386    4     18.49731773   0.19135235   16.82183293   0.22190374   6.92306318    0.17621574   2.53139583   0.09697189   1.56531199   0.19021641   0.32871478    0.094248     26.10442912889498    0.31688842    0.20852095   0.07897552    0.11783587  
417   13.61222736     -47.14496695    2     28.95347439   0.14450404   22.81216982   0.19128841   9.05656865    0.157722     3.03507629   0.11828801   1.73029862   0.1941986    0.37386365    0.09827289   25.658359541258662   0.5515969     0.18842148   0.20570484    0.11254205  
384   -20.1377669     -58.83573368    2     22.56486974   0.14734834   20.20955099   0.18988056   7.54447578    0.19031254   2.41909377   0.09566664   1.39317222   0.19144166   0.45330502    0.10124786   25.286701508488225   0.22756072    0.19202135   0.04438678    0.11329704  
655   -40.38782863    46.38956216     2     22.75635067   0.16064706   19.66432239   0.21958575   7.28878762    0.10583097   2.58408198   0.10293033   1.22564768   0.17900623   0.49769368    0.10318138   25.10515588553928    0.18686465    0.17416139   0.01871487    0.12319018  
419   40.61222777     -47.14113598    2     26.21141475   0.15166217   21.42550652   0.24099702   8.68865984    0.14944189   2.87687945   0.11665806   1.87611673   0.2008054    0.33479597    0.10691509   24.66078597569684    0.49038137    0.22087982   0.22903342    0.10690237  
420   54.11222771     -47.13778982    2     21.00420847   0.1591461    17.18943854   0.23285025   7.34800961    0.14308515   2.42145821   0.10104906   1.28972584   0.18687139   0.27940466    0.11778566   23.963193818923205   0.54031001    0.18882427   0.30968065    0.12652941  
356   0.11224076      -70.52813767    2     15.45354188   0.16037295   14.89893641   0.20851006   6.50929839    0.15611689   2.11959847   0.09125971   1.02927016   0.17681803   0.50371381    0.08217663   23.22600488211063    0.26413529    0.16615465   0.08344195    0.12443396  
623   -60.63782088    34.70357436     2     22.69010694   0.14394212   19.13561581   0.2195371    7.2443722     0.17405454   2.27646846   0.09815868   1.13102821   0.18256796   0.43945942    0.10733408   23.191718348290745   0.15224432    0.16981405   -0.02614962   0.14281026  
389   47.36223533     -58.83092543    2     18.33059622   0.12932405   15.62946732   0.24434995   7.70663604    0.14472362   2.37245763   0.10372889   1.29754593   0.20718998   0.43753096    0.10318357   22.871715199111836   0.10995805    0.1842413    0.31215637    0.11982665  
686   -33.63783594    58.07959717     2     21.68665538   0.18848873   18.39086217   0.21535056   7.1585244     0.10873781   2.38847655   0.10931403   1.25917081   0.18715434   0.46251951    0.09052194   21.849679771205945   0.18434991    0.17305371   0.08535823    0.11808369  
690   20.36216599     58.07772027     2     16.21471675   0.1504879    14.28912828   0.23524366   6.36394706    0.15143541   2.13019577   0.09761797   1.30813335   0.21068447   0.69082912    0.08989595   21.82175853482714    0.02649378    0.19031184   0.28988692    0.11349487  
571   47.36219228     11.31713442     3     12.10271539   0.11386171   11.18789353   0.2519197    4.76754942    0.18073298   2.21292378   0.10164751   0.79202171   0.20788477   0.31340341    0.09949734   21.770565555417935   0.44884629    0.20102199   0.27387404    0.11218701  
695   87.8621656      58.09684601     2     21.66870566   0.19373741   18.07501814   0.239759     6.62541103    0.14460254   2.16803361   0.10203739   1.45871065   0.19432355   0.54190947    0.11186821   21.247442824635165   -0.05247397   0.23280707   0.3779538     0.12214675  
624   -47.13782123    34.69976553     2     21.00223748   0.1368024    17.51844253   0.22022425   6.3597864     0.13435057   2.19493142   0.10410937   1.0784609    0.17246875   0.4758283     0.09835143   21.08293826002405    -0.01160804   0.1618633    0.03631974    0.11931724  
625   -33.63782135    34.6969109      2     18.08124646   0.11738663   15.86766157   0.20951289   5.82000094    0.12482396   2.08730395   0.09971279   0.97355317   0.16768824   0.44433592    0.1005806    20.933161633527654   0.05670954    0.18039041   -0.0411106    0.11537296  
725   81.11216055     69.78520384     2     21.50508022   0.14889187   18.32106755   0.24414191   7.14368505    0.12344164   2.21846982   0.10602531   1.62859905   0.21858675   0.46282493    0.1140029    20.923964476029358   0.35135666    0.2083736    0.15513033    0.13668427  
718   -13.3878424     69.76844699     2     15.73143141   0.15037397   12.53582263   0.2073323    5.30601342    0.12744489   2.00282945   0.096614     1.05558139   0.19582397   0.21011773    0.09355192   20.73021974041029    0.46149352    0.19504392   0.11233634    0.11296734  
719   0.11215836      69.76797774     2     14.37353992   0.11043085   12.39241638   0.21160844   5.09416046    0.12077127   1.9507061    0.0964258    1.26939838   0.18120893   0.24126059    0.10066126   20.230126169552133   0.31893152    0.20795609   -0.02093256   0.12130506  
358   27.11224224     -70.52621449    2     16.71089109   0.16557526   15.39429763   0.19329978   6.9579888     0.16975759   2.05473781   0.1017112    0.89459204   0.17898954   0.33025711    0.09983759   20.20168683488151    -0.02388334   0.20709009   0.12611065    0.10878184  
562   -74.13780556    11.32564969     2     21.33919418   0.10935377   17.00829274   0.18937611   5.69257398    0.10123373   2.04175485   0.10198409   1.28244867   0.17961301   0.23724283    0.09855752   20.02032719025095    0.54460556    0.17677622   0.06971235    0.10995855  
726   94.61215989     69.79141513     2     19.40273519   0.14071794   16.40584581   0.26071264   7.34311067    0.12051912   2.28040696   0.11401098   1.39498372   0.20529058   0.31550039    0.11278425   20.00164335049133    0.3351884     0.24193833   0.16362317    0.13136472  
593   -67.3878132     23.0144929      2     21.21724018   0.16745779   17.54191897   0.23851513   6.90392412    0.14208345   2.04605801   0.10265478   1.22872242   0.15552789   0.37634516    0.10552589   19.931444108106803   0.47430171    0.17738889   0.01279694    0.13071592  
754   74.3621554      81.47379992     2     21.95531007   0.14875366   18.54153101   0.29414242   7.55235264    0.14710354   2.31196005   0.11810511   1.22335249   0.22788723   0.48870333    0.11027721   19.57544470345102    0.18004037    0.2302026    -0.00890465   0.13929688  
450   47.36222037     -35.44823882    2     18.72556916   0.1820476    15.62266834   0.26934584   4.82919599    0.14543628   2.16864316   0.11092243   0.96420169   0.24416127   0.2959437     0.11604716   19.550988560203738   0.40474211    0.24624081   0.18159402    0.11608443  
357   13.61224153     -70.52765291    2     15.89638887   0.15021268   15.08555195   0.2091967    6.19027456    0.15457986   2.10270034   0.10769704   1.07125253   0.1779702    0.39523959    0.09908568   19.524216635851833   -0.1244315    0.16908436   0.106852      0.11566339  
696   101.36216448    58.10353407     2     16.85617545   0.21298973   14.29535075   0.24263399   5.65284884    0.14692267   1.94466635   0.09999229   1.21472137   0.20951081   0.46405985    0.09690623   19.448162953363706   -0.03475683   0.21055894   0.0830134     0.13482543  
449   33.86222048     -35.45110826    2     16.14211231   0.17505668   14.39596339   0.24633666   5.57799249    0.16590455   2.10276668   0.10940367   1.39220261   0.19547601   0.18354896    0.10469959   19.220257236343173   0.2168731     0.20973613   0.0893039     0.12302203  
595   -40.38781413    23.00687573     3     16.80389899   0.13441172   15.19909065   0.24265252   4.45822163    0.16110508   2.16434862   0.11376038   1.19403367   0.19902434   0.33495132    0.1168857    19.025504485832418   0.00348485    0.21838479   -0.11354436   0.13937541  
349   -94.38776093    -70.50482845    2     15.82068506   0.14841858   13.69971016   0.18415693   4.64545252    0.17002104   1.78152182   0.09367763   0.8275777    0.17097959   0.31428734    0.09612634   19.01757997079986    0.3388173     0.17981552   0.1184513     0.124617    
359   40.61224282     -70.52382241    2     12.91671395   0.16316991   11.71905592   0.21378579   5.66172415    0.11761619   1.54873986   0.08256308   0.81571447   0.17171212   0.30884265    0.09442332   18.758261683067058   0.13172426    0.18609404   -0.02629072   0.12018052  
451   60.86222002     -35.44441554    2     19.78358438   0.1830357    16.17879694   0.26412462   5.46771102    0.14985206   2.17628529   0.11772079   0.97383378   0.21639756   0.36572971    0.09524134   18.486838985705074   0.13850381    0.20153468   0.11006416    0.12027387  
574   87.86218972     11.33146927     2     18.61843183   0.1160823    14.10105011   0.26152507   3.57959144    0.2284684    1.94485263   0.10598564   0.45147829   0.23612851   0.4742245     0.09944752   18.35015224704026    -0.04354494   0.23460751   0.02534528    0.1348336   
413   -40.38777373    -47.14118355    2     12.07951634   0.15991002   11.75622176   0.20063904   2.97842098    0.16324928   1.6089644    0.08922917   1.17188632   0.16671167   0.24754174    0.08876754   18.031820759960002   0.04881218    0.16447573   0.15543661    0.10554614  
785   81.11215044     93.16789185     2     17.11381903   0.18096365   14.14709932   0.27736122   7.54101291    0.15471912   2.02512774   0.11245661   0.79092127   0.23467012   0.38415661    0.10312468   18.008080983412178   -0.14516611   0.22747439   -0.0096983    0.13769031  
355   -13.38776002    -70.52766877    2     12.04549899   0.13758541   12.85501496   0.19800248   5.1737915     0.1757419    1.74694032   0.09835623   0.64972144   0.16417959   0.32471703    0.09333036   17.76135909235236    0.25307095    0.19093915   0.17240971    0.12141938  
531   -80.88779803    -0.36295532     2     17.529808     0.12900115   14.61061922   0.17897289   4.49403494    0.11667491   1.74659836   0.09842084   0.97762312   0.16349849   0.07348085    0.10101921   17.746224884892264   0.29387672    0.1793564    -0.0638905    0.11066347  
350   -80.88776156    -70.51101933    2     16.58628924   0.154153     13.62892587   0.1970131    5.35331976    0.14136568   1.85464372   0.10542131   0.84332698   0.15520195   0.37129916    0.09964934   17.59268330093792    0.37657381    0.19263558   0.0118164     0.1230247   
543   81.11219712     -0.36286017     2     16.31164363   0.11973793   13.23315256   0.23214281   3.31323929    0.18876935   1.83052175   0.1063733    0.58275502   0.20557431   0.28823759    0.10692983   17.20847007660757    -0.04266969   0.2367574    0.03032092    0.12910802  
755   87.86215523     81.47953438     2     16.60075593   0.14916597   13.91075622   0.26088288   6.775861      0.11061024   2.16768839   0.12604191   1.07520155   0.23552591   0.41581001    0.11102141   17.19815567694904    0.44403686    0.22972542   0.14276622    0.15007325  
654   -53.88782856    46.39289409     2     18.67082683   0.15112684   15.63225513   0.18190747   5.34079221    0.11707405   1.81842038   0.10611368   1.13424444   0.16636722   0.5812156     0.09152344   17.13653112397949    0.07639186    0.16433053   0.03712048    0.11670521  
503   -47.13779318    -12.0656077     3     14.81069783   0.15999763   15.34692978   0.23872935   3.22921222    0.13673069   1.86326332   0.10881758   1.32213322   0.21006011   0.45511047    0.11598697   17.12281526569512    0.13656346    0.20175209   0.02950811    0.1388005   
784   67.61215009     93.16263428     2     22.04794015   0.14769671   18.14997469   0.25895793   7.40722589    0.16816347   2.02787617   0.12068252   1.16350813   0.22847444   0.41506227    0.11296312   16.80339596819821    -0.06749715   0.22518208   -0.06518448   0.11245237  
720   13.61215912     69.76846285     2     11.78345713   0.14181056   10.00238547   0.21501201   4.28631754    0.09355632   1.55571303   0.09269368   0.88597487   0.19345482   0.19438288    0.08193037   16.783377572235775   0.01615488    0.18651432   -0.15552911   0.11175477  
544   94.61219569     -0.35665116     2     12.02082568   0.17084297   9.76171061    0.22273468   3.02831573    0.14524795   1.55277703   0.09309106   0.44353757   0.19571279   0.28125046    0.10401337   16.680194961793323   0.1140816     0.22482131   -0.09460743   0.13610398  
665   94.61217061     46.40872637     2     18.6083281    0.17950999   15.98654647   0.25655311   5.00196128    0.15431056   2.0930684    0.12552988   0.96206808   0.195114     0.60748783    0.11457624   16.67386601500774    0.01261253    0.23950982   0.33633623    0.13157908  
